fr,en
Intensité énergétique du PIB,Energy intensity of GDP
Utilisateurs d'Internet,Individuals using the Internet
Abonnements à la téléphonie mobile,Mobile cellular subscriptions
Abonnements haut débit fixe,Fixed broadband subscriptions
Exportations de services TIC,ICT service exports
"Indice de performance logistique, score global","Logistics performance index, overall"
Trafic de fret aérien,"Air transport, freight"
Trafic de conteneurs portuaires,Container port traffic
Émissions de CO2 par habitant,CO2 emissions per capita
Émissions totales de CO2,"CO2 emissions, total"
Intensité carbone du PIB,CO2 emissions per unit of GDP
Superficie forestière,Forest area
Terres agricoles,Agricultural land
Prélèvements annuels d'eau douce,Annual freshwater withdrawals
Rentes totales des ressources naturelles,Total natural resources rents
Rentes pétrolières,Oil rents
Rentes minières,Mineral rents
Épargne nette ajustée hors dommages,Adjusted net savings
Exposition de la population aux particules fines,PM2.5 air pollution exposure
Indice de production alimentaire,Food production index
Indice de production végétale,Crop production index
Indice de production animale,Livestock production index
Rendement céréalier,Cereal yield
Terres arables par habitant,Arable land per capita
Consommation d'engrais,Fertilizer consumption
Exportations de produits agricoles bruts,Agricultural raw materials exports
Importations de produits alimentaires,Food imports
Valeur ajoutée agricole par travailleur,Agriculture value added per worker
Indice de complexité économique (ECI),Economic Complexity Index
Indice de perspectives de complexité (COI),Complexity Outlook Index
Part des produits de haute technologie dans les exportations,High-technology exports
Efficacité des pouvoirs publics,Government effectiveness
Qualité de la réglementation,Regulatory quality
État de droit,Rule of law
Maîtrise de la corruption,Control of corruption
Stabilité politique et absence de violence,Political stability and absence of violence
Expression et responsabilité,Voice and accountability
"Note CPIA, gestion économique",CPIA economic management
"Note CPIA, gestion du secteur public",CPIA public sector management
"Note CPIA, transparence et corruption",CPIA transparency and corruption
"Indice Business Ready, pilier réglementaire","Business Ready, regulatory pillar"
Temps consacré aux formalités fiscales,Time to prepare and pay taxes
Indice de tous les produits de base,Non-energy price index
Indice des produits énergétiques,Energy price index
Indice alimentation et boissons,Food price index
Indice des métaux,Metals and minerals price index
Indice des matières premières agricoles,Agricultural raw materials price index
"Pétrole brut, Brent","Crude oil, Brent"
"Pétrole brut, WTI","Crude oil, WTI"
"Pétrole brut, Dubaï","Crude oil, Dubai"
"Gaz naturel, Europe","Natural gas, Europe"
"Charbon, Australie","Coal, Australia"
Aluminium,Aluminium
Cuivre,Copper
Minerai de fer,Iron ore
Cacao,Cocoa
"Café, arabicas doux","Coffee, Arabica"
"Café, robusta","Coffee, Robusta"
Coton,Cotton
Sucre,Sugar
Bananes,Bananas
Caoutchouc,Rubber
Huile de palme,Palm oil
Grumes de bois dur,"Logs, Cameroon"
Sciages de bois dur,"Sawnwood, Cameroon"
Maïs,Maize
Blé,Wheat
Riz,Rice
Or,Gold
USD courants,Current USD
USD constants 2015,Constant 2015 USD
% du PIB,% of GDP
% annuel,% annual
Indice,Index
Personnes,People
% de la population,% of population
Années,Years
USD PPA,PPP USD
% des recettes,% of revenue
% des dépenses,% of expenditure
% du RNB,% of GNI
% des exportations,% of exports
Mds USD,USD bn
Mds LCU,LCU bn
Mds USD PPA,PPP USD bn
% de l'emploi total,% of total employment
% de la pop. active,% of labour force
"Score -2,5 à 2,5",Score -2.5 to 2.5
Score 1-6,Score 1-6
Score 0-100,Score 0-100
Indice 0-100,Index 0-100
Indice 0-1,Index 0-1
Score standardisé,Standardised score
USD / tonne,USD / tonne
USD / baril,USD / barrel
USD / kg,USD / kg
cents US / livre,US cents / pound
USD / m3,USD / m3
USD / MBtu,USD / MMBtu
USD / once troy,USD / troy ounce
LCU / USD,LCU / USD
Mois,Months
Naissances / femme,Births per woman
Hab. / km²,People / km2
Rang,Rank
Pour 1 000 hab.,"Per 1,000 people"
Pour 100 000,"Per 100,000"
Heures / an,Hours / year
kWh / hab.,kWh per capita
% du territoire,% of land area
Ratio,Ratio
%,%
non collecté,not collected
%d indicateurs comparés,%d indicators compared
"%s : %d observations, de %s à %s.","%s: %d observations, from %s to %s."
Source : %s. Extraction du %s.,Source: %s. Retrieved on %s.
Séries affichées (%d sur %d),Displayed series (%d of %d)
Sélectionnez au moins un pays dans le panneau de gauche.,Select at least one country in the left panel.
"Choisissez une catégorie, un indicateur, une fréquence, une période et un ou plusieurs pays, puis appliquez le filtre.","Choose a category, an indicator, a frequency, a period and one or more countries, then apply the filter."
Cet indicateur n'a pas encore été collecté. Lancez la collecte depuis l'onglet Collectes.,This indicator has not been collected yet. Run a collection from the Data collection tab.
Aucune donnée à ce pas. Choisissez une autre fréquence.,No data at this frequency. Choose another one.
Cet indicateur est un cours mondial : il n'a pas de dimension pays et ne peut pas être cartographié.,This indicator is a world price: it has no country dimension and cannot be mapped.
Aucune donnée cartographiable pour cette année. Déplacez le curseur ou changez de fréquence.,No mappable data for this year. Move the slider or change the frequency.
Appliquez un filtre : la carte suit le premier indicateur affiché.,Apply a filter: the map follows the first displayed indicator.
"%s, année %d : %d pays renseignés. Échelle bornée aux centiles 2 et 98 ; vos pays sont soulignés.","%s, year %d: %d countries with data. Scale capped at the 2nd and 98th percentiles; your countries are outlined."
%d sur %d,%d of %d
Le format tableur est le seul format de téléchargement proposé.,Spreadsheet is the only download format offered.
Aucune observation ne correspond aux filtres. La base est peut-être encore vide.,No observation matches the filters. The database may still be empty.
%s observations correspondent aux filtres. Les mille premières sont affichées ; le téléchargement porte sur la sélection complète.,%s observations match the filters. The first thousand are shown; the download covers the whole selection.
"Chaque exécution est tracée : sans journal, une collecte silencieusement vide passe inaperçue pendant des mois.","Every run is logged: without it, a silently empty collection would go unnoticed for months."
Une actualisation complète représente plusieurs centaines d'appels et peut durer une trentaine de minutes. Préférez une catégorie à la fois.,A full update means several hundred calls and can take about thirty minutes. Prefer one category at a time.
Aucun indicateur dans cette portée.,No indicator in this scope.
"OPESc+ rassemble les indicateurs économiques de l'ensemble des économies, collectés directement auprès des institutions qui les publient, et les met à disposition sous forme de séries exploitables : filtres par pays, par période et par variable, graphiques et cartes exportés en un clic, téléchargement au format tableur.","OPESc+ brings together economic indicators for every economy, collected directly from the institutions that publish them, and makes them available as workable series: filters by country, period and variable, charts and maps exported in one click, spreadsheet download."
Toutes les données proviennent d'interfaces publiques et gratuites. Aucune n'est produite par la plateforme. Toute réutilisation doit citer la source d'origine et la date d'extraction.,"All data come from public, free interfaces. None is produced by the platform. Any reuse must cite the original source and the retrieval date."
Observatoire des perspectives économiques du MINEPAT. Les données mises à disposition proviennent des institutions statistiques internationales de référence. Nous vous souhaitons d'y trouver matière à vos analyses.,Observatory of Economic Outlook of MINEPAT. The data made available come from the reference international statistical institutions. We hope you find in them material for your analysis.
Langue du manuel,Manual language
Format du fichier,File format
Valider,Confirm
Annuler,Cancel
"Le manuel compte une trentaine de pages. Il présente la plateforme, détaille chaque onglet, expose la méthode et recense les 233 indicateurs du catalogue avec leur code de collecte, leur source et leur unité.","The manual runs to about thirty pages. It introduces the platform, details each tab, sets out the method and lists the 233 catalogue indicators with their collection code, source and unit."
"République du Cameroun : Paix, Travail, Patrie","Republic of Cameroon: Peace, Work, Fatherland"
"Choisissez une catégorie, un indicateur, une fréquence, une période et un ou plusieurs pays. Chaque étape ne propose que ce qui existe réellement en base : aucun filtre ne mène à un graphique vide.","Choose a category, an indicator, a frequency, a period and one or more countries. Each step offers only what actually exists in the database: no filter leads to an empty chart."
"Jusqu'à six séries sur un même graphique. Quand les unités diffèrent, elles sont ramenées en base 100 pour rester comparables.","Up to six series on one chart. When units differ, they are rebased to 100 to stay comparable."
"Une carte du monde pilotée par le même filtre, avec un curseur d'année animable. Un clic sur un pays ouvre sa fiche.","A world map driven by the same filter, with an animatable year slider. Clicking a country opens its profile."
"Trois méthodes de prolongement, avec intervalle : tendance linéaire, marche aléatoire avec dérive, lissage de Holt.","Three extension methods, each with an interval: linear trend, random walk with drift, Holt smoothing."
"Consultation et téléchargement au format tableur, en séries longues ou en tableau croisé. Chaque classeur porte ses sources.","Browsing and spreadsheet download, in long format or as a cross table. Every workbook carries its sources."
"Actualisation à la demande, par catégorie ou en totalité, avec un journal de chaque exécution.","On-demand updates, by category or in full, with a log of every run."
"Ministère de l'Économie, de la Planification et de l'Aménagement du Territoire","Ministry of Economy, Planning and Regional Development"
"L'observatoire d'origine, dont OPESc+ prolonge les travaux","The original observatory, whose work OPESc+ extends"
Institut national de la statistique,National Institute of Statistics
"Indicateurs du développement dans le monde, dette, gouvernance, pauvreté","World Development Indicators, debt, governance, poverty"
"Perspectives de l'économie mondiale, finances publiques, prix des produits de base","World Economic Outlook, public finance, commodity prices"
Atlas de la complexité économique,Atlas of Economic Complexity
"Comptes nationaux trimestriels, prix, emploi","Quarterly national accounts, prices, employment"
156 indicateurs,156 indicators
49 indicateurs,49 indicators
2 indicateurs,2 indicators
à rebrancher,to be reconnected
 (agrégat), (aggregate)
Actualisation terminée avec %d erreur(s). Voir l'onglet Collectes.,Update finished with %d error(s). See the Data collection tab.
Année,Year
Armoiries de la République du Cameroun,Arms of the Republic of Cameroon
Aucune collecte enregistrée.,No collection recorded.
Aucune donnée,No data
Aucune donnée collectée,No data collected
Aucune donnée.,No data.
Cours mondial (série sans dimension pays),World price (series without country dimension)
"Données : Banque mondiale, Fonds monétaire international, OCDE, ","Data: World Bank, International Monetary Fund, OECD, "
"Growth Lab (Université Harvard), CNUCED, OIT, FAO. ","Growth Lab (Harvard University), UNCTAD, ILO, FAO. "
Illustration : données et analyse économique,Illustration: data and economic analysis
La base est en lecture seule : la collecte n'est pas disponible sur ce déploiement.,The database is read-only: collection is not available on this deployment.
La date de début était postérieure à la date de fin : les deux ont été inversées.,The start date came after the end date: the two have been swapped.
Les séries n'ont pas la même unité : elles sont ramenées en base 100 pour rester comparables.,The series do not share a unit: they are rebased to 100 to stay comparable.
Précédent,Previous
Toute la catégorie,The whole category
Toute réutilisation doit citer la source d'origine et la date d'extraction.,Any reuse must cite the original source and the retrieval date.
Vous avez choisi %d pays. Au-delà de %d courbes le graphique devient illisible ; seuls les %d premiers seront tracés.,You selected %d countries. Beyond %d curves the chart becomes unreadable; only the first %d will be drawn.
Pays-Bas,Netherlands
Chine,China
Inde,India
Italie,Italy
France,France
Espagne,Spain
Belgique,Belgium
Tchad,Chad
Nigéria,Nigeria
États-Unis,United States
